data,modelo,real,previsto,horizonte_meses,treino_inicio,treino_fim,n_meses_treino
2025-01-01,prophet,9722.313552,8996.061453674307,1,2021-01-01,2024-12-01,48
2025-02-01,prophet,14073.526841,10966.70019045334,1,2021-01-01,2024-12-01,48
2025-03-01,prophet,8492.68584,8817.408905001153,1,2021-01-01,2024-12-01,48
2025-04-01,prophet,6933.413439999999,7120.632568365563,1,2021-01-01,2024-12-01,48
2025-05-01,prophet,11109.4945158,10407.042653766151,1,2021-01-01,2024-12-01,48
2025-06-01,prophet,11203.785613,12203.687328395783,1,2021-01-01,2024-12-01,48
2025-07-01,prophet,11190.2652425,9872.310800495929,1,2021-01-01,2024-12-01,48
2025-08-01,prophet,10330.511575,9733.357373748288,1,2021-01-01,2024-12-01,48
2025-09-01,prophet,10566.643395,8862.160196666295,1,2021-01-01,2024-12-01,48
2025-10-01,prophet,14511.898500000001,8557.849116208658,1,2021-01-01,2024-12-01,48
2025-11-01,prophet,13502.550258000001,9396.388577613861,1,2021-01-01,2024-12-01,48
2025-12-01,prophet,21819.01104,14867.464144080046,1,2021-01-01,2024-12-01,48
2025-01-01,lstm_simples,9722.313552,9317.254048998937,1,2021-01-01,2024-12-01,48
2025-02-01,lstm_simples,14073.526841,9480.11695509951,1,2021-01-01,2024-12-01,48
2025-03-01,lstm_simples,8492.68584,6098.93793545179,1,2021-01-01,2024-12-01,48
2025-04-01,lstm_simples,6933.413439999999,6872.651141400631,1,2021-01-01,2024-12-01,48
2025-05-01,lstm_simples,11109.4945158,8458.747207069964,1,2021-01-01,2024-12-01,48
2025-06-01,lstm_simples,11203.785613,8853.705712138799,1,2021-01-01,2024-12-01,48
2025-07-01,lstm_simples,11190.2652425,9172.347052275676,1,2021-01-01,2024-12-01,48
2025-08-01,lstm_simples,10330.511575,9667.931191107313,1,2021-01-01,2024-12-01,48
2025-09-01,lstm_simples,10566.643395,10372.650583304308,1,2021-01-01,2024-12-01,48
2025-10-01,lstm_simples,14511.898500000001,11156.911845994397,1,2021-01-01,2024-12-01,48
2025-11-01,lstm_simples,13502.550258000001,11402.231922818199,1,2021-01-01,2024-12-01,48
2025-12-01,lstm_simples,21819.01104,11090.359799313788,1,2021-01-01,2024-12-01,48
